id,hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
20,Resort Hotel,0,7,2015,July,27,1,0,4,2,0,0,BB,GBR,Direct,Direct,0,0,0,G,G,0,No Deposit,250,NULL,0,Transient,153,0,1,Check-Out,05-07-2015
21,Resort Hotel,0,37,2015,July,27,1,1,4,1,0,0,BB,GBR,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,241,NULL,0,Transient,97.29,0,1,Check-Out,06-07-2015
22,Resort Hotel,0,72,2015,July,27,1,2,4,2,0,0,BB,PRT,Direct,Direct,0,0,0,A,A,1,No Deposit,250,NULL,0,Transient,84.67,0,1,Check-Out,07-07-2015
23,Resort Hotel,0,72,2015,July,27,1,2,4,2,0,0,BB,PRT,Direct,Direct,0,0,0,A,A,1,No Deposit,250,NULL,0,Transient,84.67,0,1,Check-Out,07-07-2015
24,Resort Hotel,0,72,2015,July,27,1,2,4,2,0,0,BB,PRT,Direct,Direct,0,0,0,D,D,1,No Deposit,250,NULL,0,Transient,99.67,0,1,Check-Out,07-07-2015
25,Resort Hotel,0,127,2015,July,27,1,2,5,2,0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,D,I,0,No Deposit,115,NULL,0,Contract,94.95,0,1,Check-Out,01-07-2015
26,Resort Hotel,0,78,2015,July,27,1,2,5,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,5,NULL,0,Transient,63.6,1,0,Check-Out,08-07-2015
27,Resort Hotel,0,48,2015,July,27,1,2,5,2,0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,8,NULL,0,Contract,79.5,0,0,Check-Out,08-07-2015
28,Resort Hotel,1,60,2015,July,27,1,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,NULL,0,Transient,107,0,2,Canceled,11-05-2015
29,Resort Hotel,0,77,2015,July,27,1,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,94,0,0,Check-Out,08-07-2015
30,Resort Hotel,0,99,2015,July,27,1,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,NULL,0,Transient,87.3,1,1,Check-Out,08-07-2015
31,Resort Hotel,0,118,2015,July,27,1,4,10,1,0,0,BB,NULL,Direct,Direct,0,0,0,A,A,2,No Deposit,NULL,NULL,0,Transient,62,0,2,Check-Out,15-07-2015
32,Resort Hotel,0,95,2015,July,27,1,4,11,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,241,NULL,0,Transient,63.86,0,0,Check-Out,16-07-2015
33,Resort Hotel,1,96,2015,July,27,1,2,8,2,0,0,BB,PRT,Direct,Direct,0,0,0,E,E,0,No Deposit,NULL,NULL,0,Transient,108.3,0,2,Canceled,29-05-2015
34,Resort Hotel,0,69,2015,July,27,2,2,4,2,0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,A,C,0,No Deposit,175,NULL,0,Transient,65.5,0,-8,Check-Out,08-07-2015
35,Resort Hotel,1,45,2015,July,27,2,1,3,3,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241,NULL,0,Transient,108.8,0,1,Canceled,19-05-2015
36,Resort Hotel,1,40,2015,July,27,2,1,3,3,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241,NULL,0,Transient,108.8,0,1,Canceled,19-06-2015
37,Resort Hotel,0,15,2015,July,27,2,1,3,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,NULL,0,Transient,98,0,-99,Check-Out,06-07-2015
38,Resort Hotel,0,36,2015,July,27,2,1,3,3,0,0,,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241,NULL,0,Transient,108.8,0,-99,Check-Out,06-07-2015
39,Resort Hotel,1,43,2015,July,27,2,1,3,3,0,0,,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241,NULL,0,Transient,108.8,0,-99,Canceled,23-05-2015
40,Resort Hotel,0,70,2015,July,27,2,2,3,2,0,0,,ROU,Direct,Direct,0,0,0,E,E,0,No Deposit,250,NULL,0,Transient,137,0,-99,Check-Out,07-07-2015
41,Resort Hotel,1,45,2015,July,27,2,2,3,2,0,0,,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,241,NULL,0,Transient,117.81,0,-99,Canceled,18-05-2015
42,Resort Hotel,0,45,2015,July,27,2,2,3,2,0,0,,IRL,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,8,NULL,0,Contract,79.5,0,-99,Check-Out,07-07-2015
43,Resort Hotel,0,16,2015,July,27,2,2,3,2,0,0,,ESP,Direct,Direct,0,0,0,F,F,0,No Deposit,NULL,NULL,0,Transient,123,0,-99,Check-Out,07-07-2015
44,Resort Hotel,0,70,2015,July,27,2,2,3,2,0,0,,ROU,Direct,Direct,0,0,0,E,E,0,No Deposit,250,NULL,0,Transient,137,0,-99,Check-Out,07-07-2015
45,Resort Hotel,0,107,2015,July,27,2,2,5,2,0,0,,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,110.7,0,-99,Check-Out,09-07-2015
46,Resort Hotel,1,47,2015,July,27,2,2,5,2,2,0,,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240,NULL,0,Transient,153,0,-99,Canceled,02-06-2015
47,Resort Hotel,0,96,2015,July,27,2,2,5,2,0,0,,ESP,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,134,NULL,0,Transient,58.95,0,-99,Check-Out,09-07-2015
48,Resort Hotel,0,113,2015,July,27,2,2,5,2,0,0,,NOR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,156,NULL,0,Transient-Party,82.88,0,-99,Check-Out,09-07-2015
49,Resort Hotel,0,90,2015,July,27,2,2,5,2,0,0,,GBR,Offline TA/TO,TA/TO,0,0,0,A,B,1,No Deposit,243,NULL,0,Contract,82.35,0,-99,Check-Out,09-07-2015
50,Resort Hotel,0,50,2015,July,27,2,2,5,2,0,0,,IRL,Online TA,TA/TO,0,0,0,E,F,1,No Deposit,241,NULL,0,Transient,119.35,0,-99,Check-Out,09-07-2015
51,Resort Hotel,0,113,2015,July,27,2,2,5,2,0,0,,NOR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,156,NULL,0,Transient-Party,67.58,0,-99,Check-Out,09-07-2015
52,Resort Hotel,0,93,2015,July,27,2,3,8,2,0,0,,IRL,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,156,NULL,0,Contract,56.01,0,-99,Check-Out,13-07-2015
53,Resort Hotel,0,76,2015,July,27,2,4,10,2,0,0,,OMN,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,243,NULL,0,Contract,110.7,0,-99,Check-Out,16-07-2015
54,Resort Hotel,0,3,2015,July,27,2,0,1,2,0,0,,ESP,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,NULL,0,Transient,88.2,1,-99,Check-Out,03-07-2015
55,Resort Hotel,0,1,2015,July,27,2,0,1,2,0,0,,ARG,Online TA,TA/TO,0,0,0,H,H,0,No Deposit,240,NULL,0,Transient,147,1,-99,Check-Out,03-07-2015
56,Resort Hotel,0,1,2015,July,27,2,0,1,2,2,0,,ESP,Direct,Direct,0,0,0,C,C,0,No Deposit,NULL,NULL,0,Transient,107,1,-99,Check-Out,03-07-2015
57,Resort Hotel,0,0,2015,July,27,2,0,1,2,0,0,,PRT,Direct,Direct,0,0,0,H,H,0,No Deposit,NULL,NULL,0,Transient,147,0,-99,Check-Out,03-07-2015
58,Resort Hotel,0,0,2015,July,27,2,0,1,2,0,0,,PRT,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240,NULL,0,Transient,117.9,0,-99,Check-Out,03-07-2015
59,Resort Hotel,0,0,2015,July,27,2,0,1,2,0,0,,PRT,Direct,Direct,0,0,0,G,G,0,No Deposit,NULL,NULL,0,Transient,123,0,-99,Check-Out,03-07-2015
60,Resort Hotel,0,14,2015,July,27,2,0,2,2,0,0,,USA,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,242,NULL,0,Transient,98,0,-99,Check-Out,04-07-2015
61,Resort Hotel,0,10,2015,July,27,2,0,2,2,0,0,,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,241,NULL,0,Transient,117.81,0,-99,Check-Out,04-07-2015
62,Resort Hotel,0,5,2015,July,27,2,0,2,2,0,0,,IRL,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,NULL,0,Transient,135,1,-99,Check-Out,04-07-2015
63,Resort Hotel,0,17,2015,July,27,2,0,3,2,0,0,,ESP,Direct,Direct,0,0,0,F,F,0,No Deposit,250,NULL,0,Transient,133,0,-99,Check-Out,05-07-2015
64,Resort Hotel,0,93,2015,July,27,2,0,3,2,0,0,,IRL,Offline TA/TO,TA/TO,0,0,0,A,C,0,No Deposit,115,NULL,0,Contract,58.95,0,-99,Check-Out,05-07-2015
65,Resort Hotel,1,3,2015,July,27,2,0,3,2,0,0,,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,136.33,0,-99,Canceled,29-06-2015
66,Resort Hotel,0,10,2015,July,27,3,0,2,2,2,0,,USA,Online TA,TA/TO,0,0,0,G,H,0,No Deposit,240,NULL,0,Transient,153,1,-99,Check-Out,05-07-2015
67,Resort Hotel,0,3,2015,July,27,3,0,2,2,0,0,,ESP,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,NULL,0,Transient,110.5,0,-99,Check-Out,05-07-2015
68,Resort Hotel,0,51,2015,July,27,3,0,2,2,0,0,,POL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,242,NULL,0,Transient,97,0,-99,Check-Out,05-07-2015
69,Resort Hotel,1,71,2015,July,27,3,0,2,3,0,0,,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,242,NULL,0,Transient,110.3,0,-99,Canceled,16-06-2015
70,Resort Hotel,1,63,2015,July,27,3,0,2,2,0,0,,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,82,0,-99,Canceled,18-06-2015
71,Resort Hotel,1,62,2015,July,27,3,0,2,2,0,0,,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,NULL,0,Transient,97,0,-99,Canceled,03-07-2015
72,Resort Hotel,1,101,2015,July,27,3,0,2,2,0,0,,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,73.8,0,-99,Canceled,12-06-2015
73,Resort Hotel,0,2,2015,July,27,3,0,2,2,0,0,,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,3,NULL,0,Transient,91.5,0,-99,Check-Out,05-07-2015
74,Resort Hotel,0,15,2015,July,27,3,0,2,2,0,0,,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,114.5,0,-99,Check-Out,05-07-2015
75,Resort Hotel,1,51,2015,July,27,3,0,2,3,0,0,,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,242,NULL,0,Transient,110.3,0,-99,Canceled,09-06-2015
76,Resort Hotel,0,3,2015,July,27,3,1,2,2,0,0,,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,90.9,1,0,Check-Out,06-07-2015
77,Resort Hotel,1,48,2015,July,27,3,1,2,2,0,,,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,NULL,0,Transient,123,0,0,Canceled,26-05-2015
78,Resort Hotel,0,2,2015,July,27,3,2,2,1,0,,,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,122,0,0,Check-Out,07-07-2015
79,Resort Hotel,0,72,2015,July,27,3,2,2,2,0,,,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,105,NULL,0,Transient,110.7,1,0,Check-Out,07-07-2015
80,Resort Hotel,0,81,2015,July,27,3,2,6,3,0,,,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,5,NULL,0,Transient,85.86,0,0,Check-Out,11-07-2015
81,Resort Hotel,0,99,2015,July,27,3,2,7,2,0,,,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,40,NULL,0,Contract,58.95,0,0,Check-Out,12-07-2015
82,Resort Hotel,1,368,2015,July,27,3,3,7,2,0,,,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,40,NULL,0,Contract,55.68,0,0,Canceled,19-05-2015
83,Resort Hotel,0,364,2015,July,27,3,3,7,2,0,,,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,40,NULL,0,Contract,55.68,0,0,Check-Out,13-07-2015
84,Resort Hotel,1,81,2015,July,27,3,3,7,2,0,,,PRT,Direct,Direct,0,0,0,A,A,2,No Deposit,250,NULL,0,Transient,124,0,1,Canceled,09-06-2015
85,Resort Hotel,0,99,2015,July,27,3,3,7,2,0,,,GBR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,115,NULL,0,Contract,111.15,0,0,Check-Out,13-07-2015
86,Resort Hotel,0,324,2015,July,27,3,4,10,2,0,,,GBR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,40,NULL,0,Contract,134.73,0,0,Check-Out,17-07-2015
87,Resort Hotel,0,69,2015,July,27,3,4,10,2,0,,,GBR,Online TA,TA/TO,0,0,0,F,F,1,No Deposit,241,NULL,0,Transient,92.45,0,1,Check-Out,17-07-2015
88,Resort Hotel,1,79,2015,July,27,3,6,15,2,1,,,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,242,NULL,0,Transient,108.73,0,2,Canceled,15-04-2015
89,Resort Hotel,0,12,2015,July,27,3,0,1,2,0,,,GBR,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,NULL,0,Transient,73.8,0,0,Check-Out,04-07-2015
90,Resort Hotel,0,9,2015,July,27,3,0,1,2,0,,,PRT,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,NULL,0,Transient,98,1,2,Check-Out,04-07-2015
91,Resort Hotel,0,1,2015,July,27,3,0,1,2,0,,,ESP,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,NULL,0,Transient,131,0,1,Check-Out,04-07-2015
92,Resort Hotel,0,21,2015,July,27,3,0,1,2,0,,,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,NULL,0,Transient,123,0,0,Check-Out,04-07-2015
93,Resort Hotel,0,9,2015,July,27,3,0,1,2,0,,,USA,Online TA,TA/TO,0,0,0,C,C,0,No Deposit,241,NULL,0,Transient,94.71,0,120,Check-Out,04-07-2015
94,Resort Hotel,0,109,2015,July,27,3,0,1,2,0,,,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,123,0,120,Check-Out,04-07-2015
95,Resort Hotel,1,109,2015,July,27,3,0,2,2,0,,,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,123,0,120,Canceled,26-05-2015
96,Resort Hotel,1,72,2015,July,27,3,0,2,2,0,,,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,73.8,0,120,Canceled,29-06-2015
97,Resort Hotel,1,63,2015,July,27,3,2,5,2,0,,,PRT,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,242,NULL,0,Transient,117,0,120,Canceled,13-05-2015
98,Resort Hotel,0,63,2015,July,27,3,2,5,3,0,,,ESP,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,105,NULL,0,Transient,196.54,0,120,Check-Out,10-07-2015
99,Resort Hotel,0,101,2015,July,27,3,2,5,2,1,,,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,NULL,0,Transient,99.3,1,120,Check-Out,10-07-2015
100,Resort Hotel,0,102,2015,July,27,3,2,5,2,0,,,DEU,Direct,Direct,0,0,0,E,E,0,No Deposit,250,NULL,0,Transient,90.95,0,120,Check-Out,10-07-2015
101,Resort Hotel,0,4,2015,July,27,4,2,1,2,0,,,ESP,Direct,Direct,0,0,0,A,C,0,No Deposit,250,NULL,0,Transient,92.67,0,120,Check-Out,07-07-2015
102,Resort Hotel,0,98,2015,July,27,4,2,1,2,0,,,FRA,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,8,NULL,0,Transient,71.55,1,120,Check-Out,07-07-2015
103,Resort Hotel,0,92,2015,July,27,4,2,4,1,2,,,FRA,Offline TA/TO,TA/TO,0,0,0,F,F,0,No Deposit,241,NULL,0,Transient,96.49,0,120,Check-Out,10-07-2015
104,Resort Hotel,0,95,2015,July,27,4,2,4,2,0,,,PRT,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,NULL,0,Transient,85.8,1,120,Check-Out,10-07-2015
105,Resort Hotel,0,102,2015,July,27,4,2,5,2,0,,,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,NULL,0,Transient,96.3,0,120,Check-Out,11-07-2015
106,Resort Hotel,1,26,2015,July,27,4,2,5,2,2,,,PRT,Online TA,TA/TO,0,0,0,H,H,0,No Deposit,240,NULL,0,Transient,163,0,120,Canceled,09-06-2015
107,Resort Hotel,1,73,2015,July,27,4,2,5,3,0,,,PRT,Direct,Direct,0,0,0,D,D,0,No Deposit,250,NULL,0,Transient,172,0,120,Canceled,20-05-2015
108,Resort Hotel,1,102,2015,July,27,4,2,5,2,0,,,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,110.7,0,120,Canceled,22-04-2015
109,Resort Hotel,0,115,2015,July,27,4,2,5,2,0,,,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,134,NULL,0,Transient,58.95,0,120,Check-Out,11-07-2015
110,Resort Hotel,0,102,2015,July,27,4,2,5,2,0,,,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,73.8,0,120,Check-Out,11-07-2015
111,Resort Hotel,0,86,2015,July,27,4,2,5,2,0,,,CHE,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,NULL,0,Transient,97,0,120,Check-Out,11-07-2015
112,Resort Hotel,0,78,2015,July,27,4,2,5,2,0,,,PRT,Online TA,TA/TO,0,0,0,E,F,0,No Deposit,240,NULL,0,Transient,139,0,120,Check-Out,11-07-2015
113,Resort Hotel,0,52,2015,July,27,4,2,5,2,0,,,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,147,NULL,0,Transient,67.24,0,120,Check-Out,11-07-2015
114,Resort Hotel,0,29,2015,July,27,4,2,6,3,0,,,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,241,NULL,0,Transient,116.5,0,120,Check-Out,12-07-2015
115,Resort Hotel,1,101,2015,July,27,4,2,6,2,0,,,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,NULL,0,Transient,96.3,0,120,Canceled,12-05-2015
116,Resort Hotel,0,109,2015,July,27,4,2,6,2,0,,,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,123,0,120,Check-Out,12-07-2015
117,Resort Hotel,0,92,2015,July,27,4,4,6,2,0,,,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,40,NULL,0,Contract,71.55,0,120,Check-Out,14-07-2015
118,Resort Hotel,0,92,2015,July,27,4,4,6,2,0,,,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,40,NULL,0,Contract,71.55,0,120,Check-Out,14-07-2015
119,Resort Hotel,0,79,2015,July,27,4,4,6,2,1,,,PRT,Direct,Direct,0,0,0,D,D,1,No Deposit,250,NULL,0,Transient,149,0,120,Check-Out,14-07-2015
120,Resort Hotel,0,2,2015,July,27,4,0,1,2,2,,,PRT,Online TA,TA/TO,0,0,0,H,G,1,No Deposit,240,NULL,0,Transient,163,1,120,Check-Out,05-07-2015
121,Resort Hotel,0,30,2015,July,27,4,0,1,2,0,,,PRT,Offline TA/TO,TA/TO,0,0,0,D,C,0,No Deposit,8,NULL,0,Contract,79.5,0,120,Check-Out,05-07-2015
122,Resort Hotel,1,51,2015,July,27,4,0,1,1,0,,,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,105,0,120,Canceled,29-05-2015
123,Resort Hotel,1,36,2015,July,27,4,0,1,1,0,,,PRT,Direct,Direct,0,0,0,E,G,1,No Deposit,250,NULL,0,Transient,123,0,120,No-Show,04-07-2015
124,Resort Hotel,1,73,2015,July,27,4,0,1,2,0,,,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,73.8,0,120,Canceled,13-05-2015
125,Resort Hotel,1,33,2015,July,27,4,0,1,2,0,,,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,NULL,0,Transient,113,0,120,Canceled,16-06-2015
126,Resort Hotel,0,32,2015,July,27,4,0,1,4,0,,,PRT,Complementary,Direct,0,0,0,H,H,2,No Deposit,NULL,NULL,0,Transient,0,0,120,Check-Out,05-07-2015
127,Resort Hotel,0,8,2015,July,27,4,0,1,2,0,,,ESP,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,NULL,0,Transient,123,0,120,Check-Out,05-07-2015
128,Resort Hotel,0,100,2015,July,27,4,1,1,2,0,,,FRA,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,NULL,0,Transient-Party,73.8,1,120,Check-Out,06-07-2015
129,Resort Hotel,0,1,2015,July,27,4,1,1,2,0,,,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,114.5,0,120,Check-Out,06-07-2015
130,Resort Hotel,0,100,2015,July,27,4,1,1,2,0,,,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient-Party,73.8,0,120,Check-Out,06-07-2015
131,Resort Hotel,0,100,2015,July,27,4,1,1,2,0,,,FRA,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,NULL,0,Transient-Party,73.8,0,120,Check-Out,06-07-2015
132,Resort Hotel,0,9,2015,July,28,5,1,0,2,0,,,ESP,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,NULL,0,Transient,88.2,0,120,Check-Out,06-07-2015
133,Resort Hotel,1,5,2015,July,28,5,1,0,2,0,,,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,NULL,0,Transient,97,0,120,Canceled,01-07-2015
134,Resort Hotel,0,0,2015,July,28,5,1,0,2,0,,,ESP,Online TA,TA/TO,0,0,0,A,C,1,No Deposit,306,NULL,0,Transient,85.1,0,120,Check-Out,06-07-2015
135,Resort Hotel,0,9,2015,July,28,5,1,0,1,0,,,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,184,NULL,0,Transient,89,0,120,Check-Out,06-07-2015
